                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0601,                 0.7172,                 1.3092,                0.92179,                0.99257,                 0.9485,                0.57123,                 1.3384,                0.62615,                 1.5544,             0.00081001,             0.00081001,             0.00081001
                     36,                    1.1,                0.72276,                 1.3012,                0.93199,                0.98438,                0.95662,                0.58608,                 1.3753,                0.60423,                 1.6165,             0.00080701,             0.00080701,             0.00080701
                     37,                 1.0636,                0.70833,                 1.3076,                0.92936,                0.94826,                0.94884,                0.57665,                 1.3744,                0.60534,                 1.6088,             0.00080401,             0.00080401,             0.00080401
                     38,                 1.0574,                0.71324,                 1.3019,                0.86461,                0.97576,                 0.9083,                0.57509,                 1.3856,                0.64948,                 1.6131,             0.00080101,             0.00080101,             0.00080101
                     39,                 1.0668,                 0.7032,                  1.314,                0.95892,                      1,                0.98397,                 0.6259,                 1.3423,                0.57452,                 1.5319,             0.00079801,             0.00079801,             0.00079801
                     40,                 1.0436,                0.70445,                 1.2909,                0.93548,                0.94857,                0.95166,                0.58971,                 1.3476,                0.66863,                 1.5883,             0.00079501,             0.00079501,             0.00079501
                     41,                 1.0541,                0.71455,                 1.3068,                0.92556,                0.95467,                0.96108,                0.61374,                 1.2729,                0.65325,                 1.5093,             0.00079201,             0.00079201,             0.00079201
                     42,                  1.058,                0.70741,                 1.3097,                0.97171,                0.97392,                0.98142,                0.59683,                 1.3852,                0.61694,                 1.6059,             0.00078901,             0.00078901,             0.00078901
                     43,                 1.0551,                0.70163,                 1.3027,                0.95791,                0.98438,                0.96524,                 0.6032,                 1.3523,                0.57143,                 1.6168,             0.00078601,             0.00078601,             0.00078601
                     44,                 1.0432,                0.68277,                 1.3042,                0.98359,                0.99026,                  0.995,                0.62272,                 1.2967,                0.56852,                 1.5111,             0.00078301,             0.00078301,             0.00078301
                     45,                 1.0497,                0.68856,                 1.3015,                0.96473,                      1,                0.99412,                0.63721,                 1.3529,                0.56161,                  1.588,             0.00078001,             0.00078001,             0.00078001
                     46,                 1.0829,                0.69073,                 1.3271,                0.90999,                0.98105,                0.94399,                0.58556,                 1.4077,                 0.6093,                 1.6863,             0.00077701,             0.00077701,             0.00077701
                     47,                  1.042,                0.68425,                 1.2946,                0.95798,                      1,                0.98472,                0.56885,                 1.4558,                0.56012,                 1.7686,             0.00077401,             0.00077401,             0.00077401
                     48,                 1.0049,                 0.6761,                 1.2806,                0.94345,                0.99407,                0.98233,                0.65802,                 1.2423,                0.56375,                 1.5107,             0.00077101,             0.00077101,             0.00077101
                     49,                 1.0285,                0.68528,                   1.29,                0.88043,                0.92188,                0.87197,                0.56322,                 1.3369,                0.73854,                   1.63,             0.00076801,             0.00076801,             0.00076801
                     50,                 1.0219,                0.68262,                 1.2729,                0.91552,                0.96875,                0.93422,                0.60087,                 1.2714,                0.57108,                 1.5704,             0.00076501,             0.00076501,             0.00076501
                     51,                 1.0554,                0.67238,                 1.2872,                0.88495,                0.95312,                0.89295,                0.58143,                 1.3449,                0.64443,                 1.6353,             0.00076201,             0.00076201,             0.00076201
                     52,                 1.0073,                0.63291,                 1.2692,                 0.9448,                0.95312,                0.95589,                 0.5982,                 1.3541,                0.61466,                 1.5682,             0.00075902,             0.00075902,             0.00075902
                     53,                 1.0148,                0.66637,                 1.2718,                0.90247,                0.98438,                0.94137,                0.60874,                   1.36,                0.62322,                 1.5987,             0.00075602,             0.00075602,             0.00075602
                     54,                 1.0158,                 0.6647,                 1.2833,                 0.8601,                0.96741,                0.88408,                 0.5697,                 1.3434,                  1.014,                 1.6113,             0.00075302,             0.00075302,             0.00075302
                     55,                 1.0051,                 0.6583,                 1.2621,                0.93639,                0.95439,                0.95073,                 0.5901,                 1.3854,                0.62935,                 1.6218,             0.00075002,             0.00075002,             0.00075002
                     56,                 1.0244,                0.64744,                 1.2757,                0.92697,                 0.9766,                0.97345,                0.61379,                 1.3719,                0.57952,                 1.5951,             0.00074702,             0.00074702,             0.00074702
